Source;Target
370;512
512;370
370;512
0;512
137;136
278;335
136;137
137;136
512;370
370;512
512;370
512;0
136;137
370;512
370;512
137;136
512;370
370;512
370;512
512;370
299;237
0;512
663;519
512;0
0;512
512;0
512;299
299;512
0;512
512;299
512;0
299;512
512;299
299;512
0;512
512;299
0;512
512;0
512;0
512;0
0;512
512;0
0;512
0;512
370;512
370;512
512;0
512;370
370;512
300;301
512;0
512;0
0;512
237;299
299;237
301;300
301;300
512;0
47;19
19;47
0;512
47;19
19;47
202;697
697;202
202;697
697;202
202;697
697;202
512;0
0;512
0;512
278;335
454;244
454;244
512;0
244;454
512;0
512;0
687;310
279;617
310;687
687;310
218;382
617;279
611;146
617;279
31;76
137;136
300;301
301;300
301;300
300;301
279;617
279;617
176;611
176;611
611;176
120;314
176;611
611;176
176;611
611;176
176;611
611;176
314;120
176;611
611;176
176;611
611;176
120;314
176;611
611;176
310;687
51;75
314;120
120;314
301;300
786;350
21;20
314;120
574;225
350;786
786;350
75;51
51;75
75;51
301;300
51;75
574;225
225;574
683;390
611;176
611;176
176;611
611;176
176;611
176;611
176;611
611;176
176;611
466;183
611;176
146;611
390;683
390;683
683;390
390;683
683;390
390;683
632;274
20;21
617;279
617;279
279;617
279;617
617;279
5;802
136;137
617;279
390;683
136;137
279;617
20;21
20;21
21;20
20;21
634;681
802;5
617;279
279;617
683;390
617;279
617;279
611;146
279;617
279;617
617;279
617;279
279;617
21;20
279;617
137;136
183;466
136;137
137;136
5;802
681;634
802;5
5;802
802;5
274;632
617;279
611;176
634;681
137;136
5;802
802;5
5;802
802;5
512;0
136;137
136;137
176;578
350;786
786;350
121;288
164;304
632;274
21;20
20;21
21;20
141;176
176;141
617;279
279;617
617;279
279;617
274;632
279;617
146;458
617;279
279;617
279;617
617;279
279;617
617;279
617;279
279;617
279;617
617;279
617;279
617;279
279;617
75;51
304;164
164;304
458;146
0;512
512;0
304;164
213;170
359;560
170;213
213;170
696;306
0;512
632;274
121;288
121;288
121;288
449;47
274;632
617;279
279;617
617;279
279;617
279;617
512;0
560;359
617;279
279;617
617;279
711;200
237;299
632;274
279;617
31;76
